Unnamed: 0,id,user_id,timestamp,loan_amount,loan_purpose,outcome,interest,webvisit_id
12,9546870,33593540,1509162149,80000,Buying a pet,ACCEPTED,8.7,
28,36469880,41352735,1508888134,270000,Refinance existing loans,REJECTED,6.7,"(72572646,)"
99,22554526,70055796,1507064389,240000,Home purchase,ACCEPTED,7.0,"(54404642,)"
117,27906548,17577009,1508660627,190000,Buying a pet,REJECTED,14.0,
121,46601919,15988868,1508586823,20000,Home purchase,REJECTED,14.0,
186,41957289,46805538,1508273362,300000,Refinance existing loans,REJECTED,7.0,
206,99355109,76460475,1508359972,260000,Refinance existing loans,REJECTED,8.7,
211,644608,29541965,1509054465,20000,Home purchase,REJECTED,7.0,"(72004328,)"
213,36909730,85885340,1507181154,190000,Refinance existing loans,REJECTED,14.0,
222,74013266,78078336,1508715183,250000,Home purchase,ACCEPTED,7.0,
232,32981943,14991753,1508750262,70000,Refinance existing loans,ACCEPTED,7.0,
250,17521143,87956665,1508168413,240000,home purchase,ACCEPTED,7.0,"(65045146,)"
283,99597835,64596394,1508565730,190000,Refinance existing loans,REJECTED,8.7,"(33871022,)"
297,91643622,60981988,1507463843,100000,Buying a pet,REJECTED,6.7,
313,92937580,16251586,1507008414,170000,Home purchase,REJECTED,8.7,
359,5066711,26085422,1508278683,80000,home purchase,REJECTED,7.0,
385,42491716,74590388,1508861243,30000,Buying a pet,REJECTED,7.0,
408,8704094,93316544,1508939774,260000,Home purchase,ACCEPTED,6.7,
417,84731523,9709421,1507429960,240000,Buying a pet,ACCEPTED,6.7,
430,1351012,80854090,1509191044,20000,Home purchase,ACCEPTED,6.7,
447,3754733,40173209,1508869563,280000,Refinance existing loans,REJECTED,8.7,"(13510410,)"
454,6993580,36480821,1509271912,90000,Refinance existing loans,REJECTED,7.0,"(74932331,)"
487,41785655,58998405,1508726102,150000,Home purchase,REJECTED,8.7,
489,80942048,77800750,1507386386,300000,Refinance existing loans,ACCEPTED,14.0,
530,77292893,48006280,1507707030,120000,Home purchase,REJECTED,6.7,
540,90947483,76095288,1507336708,100000,Buying a pet,ACCEPTED,14.0,
582,82487498,42939277,1507646127,280000,Refinance existing loans,REJECTED,14.0,"(74112627,)"
612,32969987,19918588,1509313739,240000,Home purchase,ACCEPTED,7.0,
634,65096817,8807233,1508572092,40000,Buying a pet,REJECTED,14.0,
635,70821040,98740097,1508098766,90000,Refinance existing loans,ACCEPTED,8.7,
645,61375493,56060736,1507349746,210000,Refinance existing loans,ACCEPTED,14.0,
649,53527401,84560258,1508906424,80000,Refinance existing loans,ACCEPTED,14.0,
672,84660225,62091531,1507719554,20000,home purchase,ACCEPTED,6.7,"(36329904,)"
683,40201591,20498838,1509238079,250000,Buying a pet,REJECTED,7.0,
687,69699967,88035046,1507219115,270000,Refinance existing loans,REJECTED,14.0,"(69707929,)"
688,86567486,14703988,1508663762,230000,Home purchase,REJECTED,14.0,
726,44373244,22299143,1508048169,210000,Buying a pet,ACCEPTED,7.0,
771,61946047,7506535,1507749936,250000,Buying a pet,ACCEPTED,14.0,"(91841637,)"
779,95591260,2689294,1508642477,240000,Refinance existing loans,REJECTED,14.0,
781,4993325,71032096,1507767858,270000,buying a pet,REJECTED,7.0,
788,64498676,9740429,1509358609,150000,Home purchase,ACCEPTED,14.0,
790,58964299,39090582,1507348008,190000,Refinance existing loans,ACCEPTED,8.7,"(13952841,)"
799,14392159,59044970,1506978958,260000,Refinance existing loans,ACCEPTED,14.0,
844,24429023,82084585,1507303894,30000,Home purchase,ACCEPTED,8.7,"(88106642,)"
862,2292960,47368074,1506933299,290000,Buying a pet,ACCEPTED,8.7,"(89663670,)"
870,15883368,92660315,1507177384,30000,Refinance existing loans,ACCEPTED,14.0,
883,21085210,10480288,1508848268,270000,Home purchase,ACCEPTED,14.0,
895,8852031,64752228,1508092731,210000,Buying a pet,REJECTED,6.7,"(53462535,)"
906,27503413,87940092,1508879517,100000,Home purchase,ACCEPTED,14.0,
957,65176054,94840715,1508226483,290000,Buying a pet,ACCEPTED,14.0,
959,58280618,83621513,1508901318,270000,Home purchase,ACCEPTED,14.0,"(94792045,)"
991,84733525,51740457,1507021057,170000,Home purchase,ACCEPTED,8.7,"(28821926,)"
1009,87094423,73677005,1508309979,290000,Buying a pet,ACCEPTED,7.0,
1026,41101584,36255672,1507024845,30000,home purchase,ACCEPTED,14.0,
1061,93026145,14170950,1509272193,100000,Home purchase,REJECTED,14.0,
1262,14822696,119897,1507098828,170000,Refinance existing loans,ACCEPTED,6.7,"(68350579,)"
1278,90148613,27628323,1507120160,100000,Refinance existing loans,REJECTED,6.7,
1284,75643282,74384224,1507627716,300000,Refinance existing loans,REJECTED,6.7,
1292,50655737,21092096,1508383213,190000,Home purchase,REJECTED,7.0,
1319,62936699,92438520,1507247059,180000,Buying a pet,REJECTED,6.7,
1320,66946031,92438520,1508755363,90000,Buying a pet,REJECTED,8.7,
1365,36718472,65803361,1507488646,250000,Buying a pet,REJECTED,8.7,
1374,93560247,20294760,1508384913,270000,Refinance existing loans,ACCEPTED,14.0,
1385,55715923,28244217,1509033743,100000,Home purchase,REJECTED,6.7,
1400,88490563,79060187,1508999947,220000,buying a pet,REJECTED,6.7,"(86926078,)"
1401,775964,79060187,1506927148,40000,Home purchase,REJECTED,14.0,"(97358485,)"
1452,40283474,32165240,1507697469,170000,Buying a pet,REJECTED,8.7,
1465,67451397,11206948,1507529163,150000,buying a pet,REJECTED,14.0,
1531,37271872,36814672,1507799589,220000,Refinance existing loans,ACCEPTED,14.0,
1576,33287516,38344371,1508154280,100000,Home purchase,ACCEPTED,6.7,
1605,85706996,67916545,1508295163,260000,home purchase,ACCEPTED,14.0,
1674,75686882,91826275,1508295833,270000,Buying a pet,REJECTED,6.7,
1693,11070953,20940584,1509126723,250000,Buying a pet,ACCEPTED,6.7,"(93427165,)"
1694,62013427,72704026,1507955584,70000,Buying a pet,ACCEPTED,6.7,
1769,51242726,98265518,1508685741,90000,Buying a pet,REJECTED,6.7,
1788,10938463,34192337,1509227826,50000,Buying a pet,ACCEPTED,6.7,
1802,59981198,20143328,1507854339,80000,Refinance existing loans,ACCEPTED,14.0,"(68955779,)"
1813,64383006,4906718,1507660655,200000,Buying a pet,REJECTED,8.7,
1834,91555544,12928733,1508949199,170000,Buying a pet,REJECTED,6.7,"(46286679,)"
1844,27119577,41650158,1509034492,60000,Buying a pet,REJECTED,7.0,
1874,15149667,2153732,1506964634,300000,Refinance existing loans,ACCEPTED,8.7,
1931,41340421,49655580,1508997312,290000,Refinance existing loans,ACCEPTED,14.0,
1932,54393836,1267407,1508627556,70000,Refinance existing loans,ACCEPTED,14.0,
1950,1570990,11120426,1507581538,300000,Home purchase,REJECTED,7.0,
1960,32535286,71753602,1509376340,150000,Home purchase,REJECTED,6.7,"(81708413,)"
1965,64584817,73228968,1508207529,260000,Refinance existing loans,ACCEPTED,8.7,"(86041122,)"
1969,71421755,99217814,1509288537,150000,Home purchase,REJECTED,14.0,"(78065381,)"
1988,81209097,25791065,1507133289,170000,home purchase,REJECTED,7.0,
1993,52330356,37430511,1509183019,280000,buying a pet,ACCEPTED,6.7,
2012,48655013,36163925,1508250499,250000,Buying a pet,ACCEPTED,7.0,
2023,21083999,86757731,1509088946,230000,Home purchase,REJECTED,8.7,
2057,91781313,21885154,1508051002,30000,Buying a pet,ACCEPTED,6.7,
